application_number,child_application_number,child_filing_date,continuation_type
60428856,11450806,2006-06-08,PRO
60428859,10724014,2003-11-24,PRO
60428860,PCT/US03/37437,2003-11-20,PRO
60428860,10719082,2003-11-20,PRO
60428861,10721015,2003-11-21,PRO
60428861,PCT/US03/37366,2003-11-21,PRO
60428862,10845710,2004-05-14,PRO
60428862,10719359,2003-11-21,PRO
60428862,11903754,2007-09-24,PRO
60428862,PCT/US03/36206,2003-11-14,PRO
60428863,10535357,2005-05-18,PRO
60428863,PCT/US03/37526,2003-11-24,PRO
60428863,12541606,2009-08-14,PRO
60428864,10701701,2003-11-05,PRO
60428869,PCT/US03/38186,2003-11-25,PRO
60428869,10535748,2005-09-27,PRO
60428870,10712580,2003-11-12,PRO
60428871,10702234,2003-11-06,PRO
60428871,11626624,2007-01-24,PRO
60428874,10535446,2006-10-31,PRO
60428874,PCT/US03/37545,2003-11-24,PRO
60428874,12774692,2010-05-05,PRO
60428874,10535445,2006-10-31,PRO
60428874,PCT/US03/37547,2003-11-24,PRO
60428875,PCT/US03/21963,2003-07-11,PRO
60428876,10444347,2003-05-23,PRO
60428877,10626314,2003-07-24,PRO
60428878,PCT/US03/37871,2003-11-25,PRO
60428878,10722348,2003-11-25,PRO
60428879,10722342,2003-11-25,PRO
60428880,10679638,2003-10-06,PRO
60428884,10723406,2003-11-25,PRO
60428891,10535002,2005-05-12,PRO
60428891,PCT/US03/35041,2003-11-13,PRO
60428891,11853158,2007-09-11,PRO
60428892,PCT/US03/32746,2003-11-10,PRO
60428892,10531111,2005-04-13,PRO
60428893,10531237,2005-04-13,PRO
60428893,11782659,2007-07-25,PRO
60428893,PCT/US03/32747,2003-11-10,PRO
60428894,10719706,2003-11-21,PRO
60428896,10718862,2003-11-21,PRO
60428897,10684463,2003-10-15,PRO
60428897,11507614,2006-08-22,PRO
60428899,10721231,2003-11-26,PRO
60428899,PCT/US03/37604,2003-11-26,PRO
60428901,10673561,2003-09-30,PRO
60428903,PCT/US03/37414,2003-11-21,PRO
60428903,10706974,2003-11-14,PRO
60428904,10706974,2003-11-14,PRO
60428904,PCT/US03/37414,2003-11-21,PRO
60428905,10706974,2003-11-14,PRO
60428905,PCT/US03/37414,2003-11-21,PRO
60428906,PCT/US03/35976,2003-11-25,PRO
60428906,10718662,2003-11-24,PRO
60428907,10720763,2003-11-25,PRO
60428907,PCT/US03/35975,2003-11-25,PRO
60428908,10720694,2003-11-25,PRO
60428909,10718654,2003-11-24,PRO
60428912,10721743,2003-11-26,PRO
60428912,PCT/US03/37601,2003-11-26,PRO
60428914,10723125,2003-11-26,PRO
60428916,10707185,2003-11-25,PRO
60428918,PCT/US03/36113,2003-11-13,PRO
60428918,10361853,2003-02-11,PRO
60428919,10668192,2003-09-24,PRO
60428924,10720189,2003-11-25,PRO
60428927,10725656,2003-11-24,PRO
60428931,11931575,2007-10-31,PRO
60428931,10717536,2003-11-21,PRO
60428932,10723270,2003-11-26,PRO
60428933,10674491,2003-10-01,PRO
60428934,10724300,2003-11-26,PRO
60428937,10720262,2003-11-25,PRO
60428939,10358337,2003-02-05,PRO
60428940,10722124,2003-11-26,PRO
60428941,10720341,2003-11-25,PRO
