application_number,foreign_parent_id,foreign_parent_date,parent_country_code,parent_country
08515647,P05-164321,1993-06-08,JP,JAPAN
08515659,P06-215339,1994-08-16,JP,JAPAN
08515659,P06-324967,1994-12-27,JP,JAPAN
08515662,94 10229,1994-08-17,FR,FRANCE
08515662,94 16590.9,1994-08-17,GB,UNITED KINGDOM
08515664,94/6263,1994-08-18,ZA,SOUTH AFRICA
08515665,94112733.4,1994-08-16,EP,EUROPEAN PATENT OFFICE (EPO)
08515668,94202408.4,1994-08-23,EP,EUROPEAN PATENT OFFICE (EPO)
08515680,P 44 30 576.1,1994-08-18,DE,GERMANY
08515680,195 27 771.6,1995-07-21,DE,GERMANY
08515685,7-4066,1995-01-13,JP,JAPAN
08515691,G9015495.9U,1990-11-12,DE,GERMANY
08515691,PCT/EP91/02131,1991-11-11,US,UNITED STATES OF AMERICA
08515700,P4130546.9,1991-09-13,DE,GERMANY
08515701,239423/1990,1990-09-10,JP,JAPAN
08515701,257853/1990,1990-09-27,JP,JAPAN
08515704,348687/1991,1991-12-05,JP,JAPAN
08515711,P 44 29 104.3,1994-08-17,DE,GERMANY
08515714,6-194086,1994-08-18,JP,JAPAN
08515716,6-218112,1994-08-19,JP,JAPAN
08515716,6-220976,1994-08-22,JP,JAPAN
08515736,P 44 30 604.0,1994-08-16,DE,GERMANY
08515739,P 44 39 034.3,1994-11-02,DE,GERMANY
08515740,94-20167,1994-08-16,KR,REPUBLIC OF KOREA
08515745,06-200636,1994-08-25,JP,JAPAN
08515745,06-200637,1994-08-25,JP,JAPAN
08515746,9416640.2,1994-08-17,GB,UNITED KINGDOM
08515751,5-147002,1993-05-26,JP,JAPAN
08515755,2537/94-0,1994-08-17,CH,SWITZERLAND
08515759,P 44 29 468.9,1994-08-19,DE,GERMANY
08515760,4-202539,1992-07-29,JP,JAPAN
08515767,5-35161 (P),1993-02-24,JP,JAPAN
08515768,9116625.6,1991-08-01,GB,UNITED KINGDOM
08515768,PCT/EP92/01715,1992-07-29,US,UNITED STATES OF AMERICA
08515783,215310/1994,1994-08-16,JP,JAPAN
08515783,215312/1994,1994-08-16,JP,JAPAN
08515783,215311/1994,1994-08-16,JP,JAPAN
08515793,P 44 29 047.0,1994-08-16,DE,GERMANY
08515803,6-253020,1994-09-21,JP,JAPAN
08515803,6-224183,1994-08-25,JP,JAPAN
08515804,6-192353,1994-08-16,JP,JAPAN
08515805,6-193421,1994-08-17,JP,JAPAN
08515806,P 44 29 691.6,1994-08-22,DE,GERMANY
08515807,223022/1994,1994-09-19,JP,JAPAN
08515807,193141/1994,1994-08-17,JP,JAPAN
08515807,223021/1994,1994-09-19,JP,JAPAN
08515810,MI94A 001754,1994-08-18,IT,ITALY
08515811,P 4432218.6-24,1994-09-10,DE,GERMANY
08515814,110720,1994-08-19,IL,ISRAEL
08515822,MI94A001846,1994-09-09,IT,ITALY
08515827,195233/1994,1994-08-19,JP,JAPAN
08515828,P 44 29 012.8,1994-08-16,DE,GERMANY
08515830,9410630,1994-08-30,FR,FRANCE
08515837,9419041.0,1994-09-21,GB,UNITED KINGDOM
08515838,215225/1994,1994-08-18,JP,JAPAN
08515852,P 44 29 479.4,1994-08-19,DE,GERMANY
08515865,63-226157,1988-09-08,JP,JAPAN
08515867,9309951.3,1993-05-14,GB,UNITED KINGDOM
08515868,P4429181.7,1994-08-17,DE,GERMANY
08515868,19529613.3,1995-08-11,DE,GERMANY
08515872,63-071841,1988-03-28,JP,JAPAN
08515882,P 42 05 484.2,1992-02-22,DE,GERMANY
08515883,07-82857,1995-04-07,JP,JAPAN
08515883,06-193121,1994-08-17,JP,JAPAN
08515884,6-255310,1994-10-20,JP,JAPAN
08515886,P 44 31 914.2,1994-09-08,DE,GERMANY
08515890,P4429048.9,1994-08-16,DE,GERMANY
08515895,94-20055,1994-08-16,KR,REPUBLIC OF KOREA
08515896,94-20087,1994-08-16,KR,REPUBLIC OF KOREA
08515900,06-205108,1994-08-30,JP,JAPAN
08515901,6-226032,1994-08-29,JP,JAPAN
08515901,6-226030,1994-08-29,JP,JAPAN
08515904,9107165.4,1991-04-05,JP,JAPAN
08515904,9007790.0,1990-04-06,GB,UNITED KINGDOM
08515907,94117795.8,1994-11-10,EP,EUROPEAN PATENT OFFICE (EPO)
08515909,6-209982,1994-09-02,JP,JAPAN
08515911,P 44 28 905.7,1994-08-16,DE,GERMANY
08515913,P06-198451,1994-08-23,JP,JAPAN
08515916,5-32351,1993-02-23,JP,JAPAN
08515916,4-217237,1992-07-22,JP,JAPAN
08515922,6-333830,1994-12-19,JP,JAPAN
08515932,2-248711,1990-09-20,JP,JAPAN
08515935,HEI.1-328260,1989-12-20,JP,JAPAN
08515935,HEI.1-155826,1989-06-20,JP,JAPAN
08515938,6-195460,1994-08-19,JP,JAPAN
08515940,6-60019,1994-03-05,JP,JAPAN
08515940,6-11087,1994-02-02,JP,JAPAN
08515941,6-215285,1994-08-17,JP,JAPAN
08515943,94-20057,1994-08-16,KR,REPUBLIC OF KOREA
08515943,94-20058,1994-08-16,KR,REPUBLIC OF KOREA
08515943,94-20059,1994-08-16,KR,REPUBLIC OF KOREA
08515947,7-101465,1995-04-25,JP,JAPAN
08515947,7-081478,1995-04-06,JP,JAPAN
08515955,HEI 6-198601,1994-08-23,JP,JAPAN
08515962,6-201097,1994-08-25,JP,JAPAN
08515962,7-206167,1995-08-11,JP,JAPAN
08515963,5685/84,1984-11-29,CH,SWITZERLAND
08515964,6-225824,1994-08-26,JP,JAPAN
08515965,P4430171.5,1994-08-25,DE,GERMANY
08515966,94-20168,1994-08-16,JP,JAPAN
08515967,6-213406,1994-09-07,JP,JAPAN
08515967,6-213402,1994-09-07,JP,JAPAN
08515969,925842,1992-12-22,FI,FINLAND
08515970,6-194370,1994-08-18,JP,JAPAN
08515970,7-189902,1995-07-26,JP,JAPAN
08515974,7-51529,1995-03-10,JP,JAPAN
08515974,6-223727,1994-09-19,JP,JAPAN
08515974,6-291646,1994-11-25,JP,JAPAN
08515975,G 94 13 462.6,1994-08-20,DE,GERMANY
08515976,HEI 6-194431,1994-08-18,JP,JAPAN
08515976,HEI 6-194430,1994-08-18,JP,JAPAN
08515977,"2,148,736",1995-05-05,CA,CANADA
08515979,219457/94,1994-08-22,JP,JAPAN
08515980,6-230327,1994-08-31,JP,JAPAN
08515984,G 94 13 344.1,1994-08-18,DE,GERMANY
08515989,220999/1994,1994-08-22,JP,JAPAN
08515997,195170,1994-08-19,JP,JAPAN
08516009,1176-94,1994-08-16,CL,CHILE
08516011,6-207285,1994-08-31,JP,JAPAN
08516012,6-217550,1994-09-12,JP,JAPAN
08516013,JP6-258919,1994-09-27,JP,JAPAN
08516014,18656/93,1993-02-05,JP,JAPAN
08516016,9404053.2,1994-03-03,GB,UNITED KINGDOM
08516020,P42 18 337.5,1992-05-29,DE,GERMANY
08516023,5-115439,1993-04-19,JP,JAPAN
08516033,6-198628,1994-08-23,JP,JAPAN
08516037,P 44 31 463.9,1994-09-03,DE,GERMANY
08516038,9417138.6,1994-08-23,GB,UNITED KINGDOM
08516044,232528/94,1994-09-02,JP,JAPAN
08516044,232527/94,1994-09-02,JP,JAPAN
08516046,6-248989,1994-10-14,JP,JAPAN
08516046,6-218893,1994-09-13,JP,JAPAN
08516049,6-239311,1994-10-03,JP,JAPAN
08516049,6-193330,1994-08-17,JP,JAPAN
08516053,6-208859,1994-09-01,JP,JAPAN
08516057,P 4429978.8,1994-08-24,DE,GERMANY
08516062,"2,310,967",1994-08-26,CA,CANADA
08516063,93/01862,1993-02-18,FR,FRANCE
08516068,PM8223,1994-09-16,AU,AUSTRALIA
08516071,PM8224,1994-09-16,AU,AUSTRALIA
08516075,6-208680(P),1994-09-01,JP,JAPAN
08516075,7-17899(P),1995-02-06,JP,JAPAN
08516076,6-203526,1994-08-29,JP,JAPAN
08516077,6-276476(P),1994-11-10,JP,JAPAN
08516083,94-20228,1994-08-17,KR,REPUBLIC OF KOREA
08516083,94-20227,1994-08-17,KR,REPUBLIC OF KOREA
08516089,100106/1995,1995-03-31,JP,JAPAN
08516089,217865/1994,1994-08-18,JP,JAPAN
08516096,4-225324,1992-07-31,JP,JAPAN
08516098,HEI 6-277699,1994-11-11,JP,JAPAN
08516101,6-308128,1994-11-17,JP,JAPAN
08516101,7-20882,1995-01-17,JP,JAPAN
08516103,GE95A000040,1995-04-14,IT,ITALY
08516103,GE94A000129,1994-11-17,IT,ITALY
08516105,P 41 24 958.5,1991-07-27,DE,GERMANY
08516105,P 41 34 972.5,1991-10-23,DE,GERMANY
08516106,6-233673,1994-09-28,JP,JAPAN
08516107,7-025590,1995-02-14,JP,JAPAN
08516108,EP 94202575.0,1994-09-08,EP,EUROPEAN PATENT OFFICE (EPO)
08516109,06-193463,1994-08-18,JP,JAPAN
08516110,7-25592,1995-02-14,JP,JAPAN
08516116,P 42 39 284.5,1992-11-23,DE,GERMANY
08516121,P04-361413,1992-12-28,JP,JAPAN
08516125,4-295454,1992-11-05,JP,JAPAN
08516126,147981/1993,1993-06-18,JP,JAPAN
08516140,7-024254,1995-02-13,JP,JAPAN
08516142,"017,696",1995-02-06,JP,JAPAN
08516146,6-194362,1994-08-18,JP,JAPAN
08516147,P 44 29 014.4,1994-08-16,DE,GERMANY
08516149,1994-20298,1994-08-17,KR,REPUBLIC OF KOREA
08516151,6-224204,1994-08-25,JP,JAPAN
08516151,7-146717,1995-05-22,JP,JAPAN
08516157,G 94 13 108.2,1994-08-17,DE,GERMANY
08516168,G 94 13 320.4,1994-08-18,DE,GERMANY
08516177,P 44 29 524.3,1994-08-19,DE,GERMANY
08516188,9417272.3,1994-08-25,GB,UNITED KINGDOM
08516190,94 10 227,1994-08-23,FR,FRANCE
08516193,7-122891,1995-05-22,JP,JAPAN
08516194,94-20291,1994-08-17,KR,REPUBLIC OF KOREA
08516198,P4429660.6,1994-08-20,DE,GERMANY
08516204,2.097.952,1993-06-08,CA,CANADA
08516210,5-127503,1993-05-28,JP,JAPAN
08516210,4-274319,1992-10-13,JP,JAPAN
08516210,4-145694,1992-06-05,JP,JAPAN
08516210,4-145693,1992-06-05,JP,JAPAN
08516210,5-127504,1993-05-28,JP,JAPAN
08516210,4-274320,1992-10-13,JP,JAPAN
08516212,6-215548,1994-09-09,JP,JAPAN
08516215,2.152.567,1995-06-23,CA,CANADA
08516218,06-193971,1994-08-18,JP,JAPAN
08516218,06-193970,1994-08-18,JP,JAPAN
08516224,P 44 29 194.9,1994-08-18,DE,GERMANY
08516225,P4429975.3,1994-08-24,DE,GERMANY
08516234,7-203061,1995-08-09,JP,JAPAN
08516234,6-193414,1994-08-17,JP,JAPAN
08516234,6-194417,1994-08-18,JP,JAPAN
08516242,94-34551,1994-12-16,KR,REPUBLIC OF KOREA
08516244,P 43 31 589.5,1993-09-17,DE,GERMANY
08516244,P 42 44 191.9,1992-12-24,DE,GERMANY
08516249,9207839,1992-06-19,FR,FRANCE
08516250,PCT/CH93/00087,1993-03-29,US,UNITED STATES OF AMERICA
08516250,999/92-3,1992-03-30,CH,SWITZERLAND
08516253,93/04850,1993-04-23,FR,FRANCE
08516259,9416582.6,1994-08-17,GB,UNITED KINGDOM
08516260,4(1992)-279437,1992-09-24,JP,JAPAN
08516268,6-290605,1994-10-31,JP,JAPAN
08516277,PO6-218339,1994-08-22,JP,JAPAN
08516278,6-216575,1994-08-18,JP,JAPAN
08516280,P06-194028,1994-08-18,JP,JAPAN
08516282,6-324905,1994-12-27,JP,JAPAN
08516282,6-280141,1994-11-15,JP,JAPAN
08516283,6-218163,1994-08-19,JP,JAPAN
08516284,7-14592,1995-06-13,JP,JAPAN
08516284,7-3679,1995-01-13,JP,JAPAN
08516284,6-004751,1994-01-20,JP,JAPAN
08516285,MI94A-000241,1994-02-11,IT,ITALY
08516289,JP 6-195587,1994-08-19,JP,JAPAN
08516292,222585/1994,1994-08-24,JP,JAPAN
08516294,9416783.0,1994-08-19,GB,UNITED KINGDOM
08516295,HEI6-195489,1994-08-19,JP,JAPAN
08516296,95-6426,1995-03-24,KR,REPUBLIC OF KOREA
08516298,6-150425,1994-06-07,JP,JAPAN
08516308,94-6521,1994-08-26,ZA,SOUTH AFRICA
08516309,P 44 37 122.5,1994-10-01,DE,GERMANY
08516312,P 44 30 295.9,1994-08-26,DE,GERMANY
08516327,P4429282.1,1994-08-18,DE,GERMANY
08516328,94-20260,1994-08-17,KR,REPUBLIC OF KOREA
08516330,228997/1994,1994-08-31,JP,JAPAN
08516332,6-235995,1994-09-05,JP,JAPAN
