application_number,child_application_number,child_filing_date,continuation_type
29248105,29304738,2008-03-06,DIV
29248105,29318515,2008-05-21,DIV
29248106,29250267,2006-11-08,CIP
29248141,29305454,2008-03-20,DIV
29248176,PCT/US07/61465,2007-02-01,CON
29248208,29297928,2007-11-21,DIV
29248208,29297931,2007-11-21,DIV
29248212,29280049,2007-05-15,CON
29248213,29280040,2007-05-15,CON
29248214,29280047,2007-05-15,CON
29248221,29280584,2007-05-31,CIP
29248240,29308773,2008-07-03,DIV
29248240,29276599,2007-01-30,DIV
29248276,29282234,2007-07-14,DIV
29248278,29282704,2007-07-26,DIV
29248281,11620013,2007-01-04,CIP
29248293,29297245,2007-11-07,DIV
29248297,29297169,2007-11-06,DIV
29248311,29328924,2008-12-04,DIV
29248311,29392801,2011-05-26,DIV
29248316,13210492,2011-08-16,CIP
29248316,PCT/US07/75636,2007-08-09,CON
29248316,11836696,2007-08-09,CIP
29248340,11620013,2007-01-04,CIP
29248385,29295639,2007-10-02,CIP
29248432,29249626,2006-10-13,CON
29248432,29303708,2008-02-15,CON
29248432,29276551,2007-01-29,CON
29248432,29249635,2006-10-13,CON
29248432,29249657,2006-10-16,CON
29248432,29249627,2006-10-13,CON
29248432,29337075,2009-05-14,CON
29248432,29325683,2008-10-03,CON
29248432,29249630,2006-10-13,CON
29248432,29249628,2006-10-13,CON
29248432,29280299,2007-05-23,CON
29248432,29249625,2006-10-13,CON
29248432,29281979,2007-07-09,CON
29248432,29249629,2006-10-13,CON
29248432,29249631,2006-10-13,CON
29248432,29249651,2006-10-16,CON
29248432,29249647,2006-10-16,CON
29248432,29249649,2006-10-16,CON
29248432,29249656,2006-10-16,CON
29248432,29249634,2006-10-13,CON
29248432,29249632,2006-10-13,CON
29248465,29328616,2008-11-26,CON
29248517,29276677,2007-02-01,CON
29248517,29322319,2008-08-01,CON
29248518,29322394,2008-08-04,CON
29248518,29277086,2007-02-13,CON
29248521,29278069,2007-03-19,CON
29248521,29248880,2006-09-08,CON
29248521,29278096,2007-03-19,CON
29248521,29353347,2010-01-07,DIV
29248521,29248904,2006-09-08,CON
29248521,29248887,2006-09-08,CON
29248521,29248893,2006-09-08,CON
29248521,29248890,2006-09-08,CON
29248521,29248881,2006-09-08,CON
29248521,29353344,2010-01-07,DIV
29248521,29248901,2006-09-08,CON
29248521,29353339,2010-01-07,DIV
29248521,29278082,2007-03-19,CON
29248521,29248884,2006-09-08,CON
29248521,29278094,2007-03-19,CON
29248521,29278099,2007-03-19,CON
29248521,29278091,2007-03-19,CON
29248521,29353342,2010-01-07,DIV
29248521,29278071,2007-03-19,CON
29248521,29323027,2008-08-15,DIV
29248521,29248923,2006-09-11,CON
29248521,29248903,2006-09-08,CON
29248521,29248878,2006-09-08,CON
29248521,29278070,2007-03-19,CON
29248521,29278085,2007-03-19,CON
29248521,29278066,2007-03-19,CON
29248521,29353338,2010-01-07,DIV
29248521,29248897,2006-09-08,CON
29248521,29278093,2007-03-19,CON
29248521,29278088,2007-03-19,CON
29248533,29317198,2008-04-24,DIV
29248533,29326027,2008-10-10,CON
29248538,29323087,2008-08-18,DIV
29248538,29295345,2007-09-27,DIV
