application_number,child_application_number,child_filing_date,continuation_type
06515592,06884513,1986-07-11,DIV
06515594,06663594,1984-10-22,CIP
06515595,07167325,1988-03-11,REI
06515600,07094312,1987-09-08,DIV
06515607,06708117,1985-03-05,CIP
06515611,06712912,1985-03-15,CON
06515634,06764969,1985-08-12,CON
06515635,06661920,1984-10-17,CIP
06515635,06843820,1986-03-28,CIP
06515642,06774138,1985-09-09,CIP
06515643,06764642,1985-08-12,DIV
06515646,06681694,1984-12-14,CON
06515653,06731893,1985-05-08,DIV
06515662,06643412,1984-08-22,CON
06515662,06862648,1986-05-13,CON
06515662,07131838,1987-12-11,CON
06515662,07139767,1987-12-30,CON
06515662,07445441,1989-12-04,CON
06515662,06850180,1986-04-10,CON
06515670,06928694,1986-11-07,CON
06515677,06703017,1985-02-19,DIV
06515677,06931096,1986-11-17,DIV
06515678,06702778,1985-02-19,CON
06515678,06652167,1984-09-19,CON
06515679,06703018,1985-02-19,DIV
06515679,06935380,1986-11-26,DIV
06515698,06688695,1985-01-04,CON
06515702,06816519,1986-01-06,CIP
06515702,06807933,1986-03-10,CIP
06515702,06623760,1984-06-22,CIP
06515703,06769789,1985-08-26,CON
06515705,06736976,1985-05-22,CON
06515716,06892502,1986-08-01,REI
06515716,07146226,1988-01-20,REI
06515716,07617410,1990-11-21,REI
06515755,06632686,1984-07-23,CON
06515757,06918421,1986-10-14,CIP
06515757,07170217,1988-03-18,CIP
06515759,06945065,1986-12-19,CON
06515760,06904519,1986-09-05,DIV
06515766,06708739,1985-03-06,CON
06515766,06684507,1984-12-21,DIV
06515768,06697947,1985-02-04,CIP
06515773,06765899,1985-08-14,CON
06515774,06778439,1985-09-20,CIP
06515780,06694655,1985-01-24,CIP
06515795,06615775,1984-05-31,CIP
06515799,06681737,1984-12-14,DIV
06515824,06620976,1984-06-15,DIV
06515828,06786554,1985-10-11,CIP
06515828,06659937,1984-10-12,CON
06515836,06608911,1984-05-09,CON
06515839,06767984,1985-08-21,DIV
06515844,06597590,1984-04-10,DIV
06515848,06827206,1986-02-04,CIP
06515863,06879507,1986-06-27,CON
06515868,06636167,1984-07-31,CIP
06515880,06782615,1985-10-01,CIP
06515880,07045420,1987-05-04,CIP
06515880,06666477,1984-10-30,CIP
06515888,06761329,1985-07-31,CON
06515890,07382056,1989-07-13,CON
06515890,08284277,1994-08-02,CON
06515890,08368636,1995-01-04,CON
06515890,90003945,1995-08-31,CON
06515890,07090392,1987-08-27,CON
06515890,06831124,1986-02-21,CON
06515890,07297935,1989-01-17,CON
06515890,08368657,1995-01-04,CON
06515890,08635651,1996-04-22,CON
06515890,08082812,1993-06-28,CON
06515890,07717462,1991-06-17,CON
06515890,90004487,1996-12-18,CON
06515896,06754751,1985-07-15,CIP
06515897,06759925,1985-07-29,CON
06515913,90001665,1988-12-12,REX
06515919,06580645,1984-02-16,DIV
06515923,06742367,1985-06-07,CON
06515927,07049711,1987-05-12,DIV
06515927,06785488,1985-12-13,DIV
06515940,06772246,1985-09-03,CIP
06515946,06545366,1983-10-25,CIP
06515946,06821742,1986-01-23,CON
06515946,07035630,1987-04-06,CIP
06515949,07086307,1987-08-14,CIP
06515961,06655310,1984-09-26,CIP
06515971,06690818,1985-01-11,CON
06515977,06753882,1985-07-11,CON
06516002,06811087,1985-12-19,CIP
06516002,06811130,1985-12-19,CIP
06516002,06811082,1985-12-19,CIP
06516002,06810960,1985-12-19,CIP
06516002,06811083,1985-12-19,CIP
06516002,06811053,1985-12-19,CIP
06516002,06810812,1985-12-19,CIP
06516002,06811054,1985-12-19,CIP
06516002,06811046,1985-12-19,CIP
06516002,06811089,1985-12-19,CIP
06516002,06810961,1985-12-19,CIP
06516005,07312354,1989-02-15,DIV
06516005,07056344,1987-05-27,DIV
06516016,06821113,1986-01-17,CON
06516021,06900861,1986-08-27,CIP
06516028,06802068,1985-11-25,CON
06516029,06833570,1986-02-24,CON
06516031,06714166,1985-03-20,REI
06516053,06835886,1986-03-04,DIV
06516053,06920180,1986-10-17,DIV
06516053,06692497,1985-01-18,DIV
06516076,06639985,1984-08-13,CIP
06516076,06765630,1985-08-15,CIP
06516078,07035933,1987-04-08,CIP
06516078,06818395,1986-01-13,CON
06516078,06730157,1985-05-03,DIV
06516088,06818707,1986-01-14,CON
06516093,06624182,1984-06-25,CIP
06516094,06810076,1985-12-17,CON
06516094,06746551,1985-06-19,CON
06516102,06761585,1985-08-01,CIP
06516119,06923307,1986-10-27,CON
06516119,06812963,1985-12-24,CIP
06516119,07345099,1989-04-28,CIP
06516119,06794753,1985-11-04,CON
06516119,06522414,1983-08-11,CIP
06516119,06946362,1986-12-24,CIP
06516125,06555604,1983-11-28,CIP
06516131,06716512,1985-03-25,CON
06516132,07065100,1987-06-19,CON
06516132,06829543,1986-02-11,CON
06516133,07400730,1989-08-30,CIP
06516133,07981910,1992-11-23,CIP
06516133,07400720,1989-08-30,CIP
06516133,06671491,1984-11-14,CIP
06516133,07145734,1988-01-14,CIP
06516136,08466927,1995-06-06,CON
06516136,07058620,1987-06-03,CON
06516136,07476961,1990-02-07,CON
06516137,06559864,1983-12-08,CIP
06516140,06816638,1986-01-06,CIP
06516142,06857934,1986-04-30,CIP
06516147,06668669,1984-11-06,DIV
06516147,06668645,1984-11-06,DIV
06516152,06722176,1985-04-10,CON
06516155,06657465,1984-10-03,CON
06516157,06682733,1984-12-17,CIP
06516163,06828085,1986-02-07,CON
06516165,06667053,1984-10-31,DIV
06516166,06708753,1985-03-06,DIV
06516169,06711341,1985-03-13,CON
06516169,06797761,1985-11-13,CON
06516173,06794932,1985-11-04,CON
06516209,06603520,1984-04-24,CIP
06516217,06561434,1983-12-14,DIV
06516217,06561429,1983-12-14,DIV
06516217,06561431,1983-12-14,DIV
06516217,06561435,1983-12-14,DIV
06516222,06533189,1983-09-19,CIP
