application_number,child_application_number,child_filing_date,continuation_type
13246203,PCT/US12/56573,2012-09-21,CON
13246203,14195107,2014-03-03,CON
13246211,14227155,2014-03-27,CON
13246212,PCT/US12/57057,2012-09-25,CON
13246215,14682148,2015-04-09,CON
13246215,14215250,2014-03-17,CON
13246217,14722933,2015-05-27,CON
13246224,PCT/US12/56591,2012-09-21,CON
13246225,13652614,2012-10-16,CON
13246235,13889955,2013-05-08,CON
13246235,13601260,2012-08-31,CON
13246238,14310588,2014-06-20,CON
13246238,14925337,2015-10-28,CON
13246242,14529279,2014-10-31,DIV
13246243,14748364,2015-06-24,CON
13246243,13852279,2013-03-28,CON
13246245,14718384,2015-05-21,DIV
13246250,PCT/US12/57033,2012-09-25,CON
13246250,13477230,2012-05-22,CON
13246251,14231967,2014-04-01,DIV
13246251,13370521,2012-02-10,DIV
13246251,14879309,2015-10-09,DIV
13246251,13765194,2013-02-12,DIV
13246252,PCT/US12/48421,2012-07-26,CON
13246256,13661132,2012-10-26,CON
13246260,13411771,2012-03-05,CON
13246273,PCT/US12/57297,2012-09-26,CON
13246278,PCT/US12/57050,2012-09-25,CON
13246281,14220951,2014-03-20,CIP
13246284,14525679,2014-10-28,DIV
13246285,13472611,2012-05-16,CON
13246285,14565009,2014-12-09,CON
13246285,13870043,2013-04-25,CON
13246290,PCT/US12/56456,2012-09-21,CON
13246293,14737646,2015-06-12,CON
13246294,13591831,2012-08-22,CON
13246297,13777435,2013-02-26,CON
13246299,14210546,2014-03-14,CON
13246299,13617475,2012-09-14,CON
13246300,PCT/US12/55090,2012-09-13,CON
13246304,13941619,2013-07-15,CON
13246304,13549676,2012-07-16,CON
13246304,14341368,2014-07-25,CON
13246308,13925239,2013-06-24,CON
13246319,13867571,2013-04-22,CON
13246325,13950359,2013-07-25,CON
13246327,PCT/US12/57234,2012-09-26,CON
13246327,14332487,2014-07-16,CON
13246332,PCT/US11/55577,2011-10-10,CON
13246339,13829444,2013-03-14,DIV
13246341,13762264,2013-02-07,CON
13246342,14690994,2015-04-20,CIP
13246342,13432498,2012-03-28,CIP
13246342,14543627,2014-11-17,CIP
13246342,14158083,2014-01-17,DIV
13246350,14606295,2015-01-27,CON
13246352,14135843,2013-12-20,CON
13246353,14080390,2013-11-14,DIV
13246362,PCT/US11/57679,2011-10-25,CON
13246364,PCT/US12/54590,2012-09-11,CON
13246369,14639317,2015-03-05,CON
13246377,PCT/US11/55569,2011-10-10,CON
13246384,13492382,2012-06-08,CON
13246387,PCT/US12/51769,2012-08-21,CON
13246388,14016727,2013-09-03,CON
13246389,13670790,2012-11-07,DIV
13246389,14510746,2014-10-09,DIV
13246391,13314435,2011-12-08,CON
13246391,14509288,2014-10-08,CON
13246391,13355369,2012-01-20,CON
13246398,13843071,2013-03-15,CIP
13246398,14295314,2014-06-03,CON
13246402,13568763,2012-08-07,CON
13246409,PCT/US12/33175,2012-04-12,CON
13246413,13732939,2013-01-02,CON
13246414,PCT/US11/55567,2011-10-10,CON
13246420,PCT/US11/63725,2011-12-07,CON
13246421,14272862,2014-05-08,CON
13246421,13873363,2013-04-30,CON
13246421,14748647,2015-06-24,CON
13246424,14690290,2015-04-17,CON
13246425,PCT/US12/56825,2012-09-24,CON
13246428,14530499,2014-10-31,CON
13246428,13968313,2013-08-15,CON
13246433,14040872,2013-09-30,CON
13246434,PCT/US12/55860,2012-09-18,CON
13246437,14285741,2014-05-23,CON
13246441,14336067,2014-07-21,CON
13246443,14736203,2015-06-10,CON
13246444,PCT/US12/44117,2012-06-26,CON
13246445,PCT/US12/57383,2012-09-26,CON
13246447,13474320,2012-05-17,CON
13246449,14930341,2015-11-02,CON
13246451,14557972,2014-12-02,CON
13246453,13962751,2013-08-08,CIP
13246453,PCT/US12/57570,2012-09-27,CON
13246462,14084085,2013-11-19,DIV
13246464,14927227,2015-10-29,CON
13246464,13859554,2013-04-09,CON
13246464,14706802,2015-05-07,CON
13246464,13859471,2013-04-09,CIP
13246466,PCT/US12/55091,2012-09-13,CON
13246468,13739073,2013-01-11,CIP
13246468,PCT/US11/54713,2011-10-04,CON
13246468,13966413,2013-08-14,DIV
13246472,14555469,2014-11-26,CON
13246474,13568970,2012-08-07,CON
13246481,PCT/US12/57595,2012-09-27,CON
13246482,13917265,2013-06-13,CIP
13246483,13483808,2012-05-30,DIV
13246488,PCT/US12/56752,2012-09-21,CON
13246491,PCT/US11/53739,2011-09-28,CON
13246493,13528391,2012-06-20,CON
13246499,PCT/US11/53673,2011-12-13,CON
13246507,14304679,2014-06-13,CON
13246508,14099386,2013-12-06,CON
13246510,PCT/US12/56385,2012-09-20,CON
