application_number,child_application_number,child_filing_date,continuation_type
09568859,10348418,2003-01-21,DIV
09568866,11139067,2005-05-26,CON
09568866,10151839,2002-05-20,CON
09568875,09649363,2000-08-28,CIP
09568876,PCT/US00/42210,2000-11-16,CON
09568876,10075771,2002-02-14,DIV
09568876,09947138,2001-09-05,DIV
09568880,09695581,2000-10-24,CON
09568880,10075687,2002-02-14,CON
09568880,10608753,2003-06-27,CON
09568880,11524496,2008-08-19,CON
09568880,12757127,2010-04-09,CON
09568889,10788161,2004-02-25,DIV
09568891,09848566,2001-05-03,CIP
09568892,10216347,2002-08-09,DIV
09568897,11103848,2005-04-12,DIV
09568900,10872015,2004-06-18,CON
09568900,10628007,2003-07-25,CON
09568900,11186042,2005-07-21,CON
09568900,10179569,2002-06-25,CON
09568901,10317420,2002-12-11,CON
09568901,09939919,2001-08-27,CON
09568901,09864697,2001-05-23,CON
09568902,10196030,2002-07-15,DIV
09568903,10241616,2002-09-09,CON
09568908,09867317,2001-05-29,DIV
09568910,10117368,2002-04-05,CIP
09568910,10423951,2003-04-28,CON
09568915,10825292,2004-04-15,CIP
09568915,10090307,2002-03-04,CIP
09568915,09757216,2001-01-09,CIP
09568916,09620524,2000-07-20,CON
09568916,09705353,2000-11-03,CON
09568916,PCT/US01/08474,2001-03-16,CON
09568916,PCT/US01/08739,2001-03-16,CON
09568916,PCT/US01/08549,2001-03-16,CON
09568916,PCT/US01/08689,2001-03-16,CON
09568916,PCT/US01/08471,2001-03-16,CON
09568916,09705575,2000-11-03,CON
09568916,09620526,2000-07-20,CIP
09568916,PCT/US01/08738,2001-03-16,CON
09568916,09620525,2000-07-20,CON
09568916,PCT/US01/08684,2001-03-16,CON
09568916,PCT/US01/08550,2001-03-16,CON
09568917,10143102,2002-05-09,DIV
09568921,09569911,2000-05-11,CIP
09568925,11928793,2007-10-30,CON
09568925,09975839,2001-10-11,CON
09568925,10603346,2003-06-25,CON
09568925,13098525,2011-05-02,CON
09568925,13107485,2011-05-13,CON
09568925,12786431,2010-05-25,CON
09568925,13031461,2011-02-21,CON
09568925,10603347,2003-06-25,CON
09568925,11928733,2007-10-30,CON
09568925,14528171,2014-10-30,CON
09568925,11928767,2007-10-30,CON
09568925,11397204,2006-04-04,CON
09568925,13633357,2012-10-02,CON
09568925,10238762,2002-09-10,CON
09568925,09653449,2000-08-31,CON
09568925,13306165,2011-11-29,CON
09568925,13461265,2012-05-01,CON
09568925,14174025,2014-02-06,CON
09568926,10749949,2003-12-31,CON
09568926,09870227,2001-05-30,CON
09568926,10141644,2002-05-06,CON
09568926,09968566,2001-09-29,CON
09568926,10436349,2003-05-12,CON
09568933,10024274,2001-12-17,CIP
09568935,PCT/US01/10038,2001-03-30,CON
09568935,09919327,2001-07-31,CON
09568982,10704652,2003-11-12,DIV
09568983,10457819,2003-06-10,CON
09568984,09975998,2001-10-15,DIV
09568984,10354179,2003-01-30,DIV
09568984,09803015,2001-03-12,DIV
09568988,09814027,2001-03-22,CON
09568999,10612967,2003-07-07,CON
09568999,13176514,2011-07-05,CON
09568999,11775658,2007-07-10,CON
09569005,10177627,2002-06-18,DIV
09569005,09713383,2000-11-15,CON
09569008,10326166,2002-12-23,DIV
09569009,10853611,2004-05-25,DIV
09569018,09586105,2000-06-02,CIP
09569020,11171676,2005-06-30,CIP
09569020,13859509,2013-04-09,CIP
09569020,10727290,2003-12-03,CIP
09569020,10756001,2004-01-13,CON
09569020,09941185,2001-08-28,CIP
09569020,11928898,2007-10-30,CIP
09569020,12795935,2010-06-08,CIP
09569020,11171700,2005-06-30,CIP
09569020,12784724,2010-05-21,CIP
09569020,11170969,2005-06-30,CIP
09569020,13859516,2013-04-09,CIP
09569020,13221033,2011-08-30,CIP
09569020,09976396,2001-10-11,CIP
09569020,10755995,2004-01-13,CON
09569020,10163480,2002-06-05,CON
09569020,11928262,2007-10-30,CON
09569020,14258852,2014-04-22,CIP
09569020,11684178,2007-03-09,CIP
09569020,11037855,2005-01-18,CIP
09569020,10888783,2004-07-09,CIP
09569020,10191751,2002-07-08,CIP
09569020,10795887,2004-03-08,CIP
09569020,10684904,2003-10-14,CIP
09569020,11037535,2005-01-18,CIP
09569020,11684103,2007-03-09,CIP
09569020,13407968,2012-02-29,CIP
09569020,10681526,2003-10-08,CIP
09569020,14711937,2015-05-14,CON
09569020,13407448,2012-02-28,CIP
09569020,13745263,2013-01-18,CON
09569020,10755996,2004-01-13,CON
09569020,10722102,2003-11-25,CIP
09569024,10872460,2004-06-22,DIV
09569024,11412909,2006-04-28,DIV
09569024,11412907,2006-04-28,DIV
09569024,11412908,2006-04-28,DIV
09569024,11412996,2006-04-28,DIV
09569029,10281036,2002-10-24,DIV
09569031,10436084,2003-05-13,CON
09569033,09872033,2001-06-01,CON
09569034,09909227,2001-07-19,CIP
09569038,10348689,2003-01-22,CON
09569042,10194239,2002-07-15,DIV
09569042,10356623,2003-02-03,DIV
09569044,10973917,2004-10-27,CON
09569045,13550501,2012-07-16,CON
09569045,14075535,2013-11-08,CON
09569046,09984542,2001-10-30,CON
09569052,10826399,2004-04-19,DIV
09569052,10146116,2002-05-16,DIV
09569052,11317147,2005-12-27,DIV
09569054,10314415,2002-12-09,CON
09569060,PCT/US01/04462,2001-02-09,CON
09569060,95000207,2006-12-15,REX
09569066,10156261,2002-05-28,DIV
09569079,09718018,2000-11-20,CIP
09569079,11355431,2006-02-16,CIP
09569090,10851456,2004-05-20,CON
09569095,11040252,2005-01-19,CIP
09569098,09794764,2001-02-26,CIP
09569098,09656688,2000-09-07,CIP
09569098,10294443,2002-11-13,CIP
09569098,09685436,2000-10-10,CIP
09569098,09605724,2000-06-27,CIP
09569098,09853079,2001-05-09,CIP
09569098,09737178,2000-12-13,CIP
09569099,09782357,2001-02-12,CON
09569099,10293421,2002-11-12,CON
09569100,13590936,2012-08-21,CON
09569100,12549491,2009-08-28,CON
09569100,11422542,2006-06-06,CON
09569100,12013595,2008-01-14,CON
09569100,13076041,2011-03-30,CON
09569124,10839121,2004-05-05,REI
09569125,09790199,2001-02-20,CIP
09569125,PCT/US01/14695,2001-05-04,CON
09569125,10418260,2003-04-15,CIP
09569125,10647789,2003-08-25,CIP
09569125,11243613,2005-10-05,CIP
09569125,11376979,2006-03-16,CIP
09569125,12829574,2010-07-02,CIP
09569125,12755691,2010-04-07,CIP
09569125,12789608,2010-05-28,CIP
09569125,11674803,2007-02-14,CIP
09569125,13494882,2012-06-12,CIP
09569125,10155624,2002-05-24,CON
09569125,11674787,2007-02-14,CIP
09569135,10032535,2002-01-02,CIP
09569136,10316460,2002-12-10,CON
09569140,PCT/US01/03769,2001-02-05,CON
09569140,09758885,2001-01-11,CIP
