application_number,child_application_number,child_filing_date,continuation_type
10141078,PCT/US02/15244,2002-05-10,CON
10141084,12818418,2010-06-18,CIP
10141084,11355450,2006-02-16,CIP
10141085,12149432,2008-05-01,DIV
10141085,11050792,2005-02-07,DIV
10141087,PCT/US03/12469,2003-04-23,CON
10141090,11050203,2005-02-03,DIV
10141091,PCT/US03/14227,2003-05-06,CON
10141096,11789315,2007-04-24,CON
10141097,10863011,2004-06-08,CON
10141100,11594144,2006-11-08,DIV
10141114,10609146,2003-06-27,CIP
10141117,11023582,2004-12-29,CON
10141120,10298579,2002-11-19,CON
10141120,10461453,2003-06-16,CON
10141126,10288444,2002-11-06,CIP
10141128,PCT/IB03/01493,,CON
10141135,11330064,2006-01-12,CON
10141136,10780210,2004-02-17,DIV
10141140,12318457,2008-12-30,CON
10141140,11712919,2007-03-02,CON
10141140,10964718,2004-10-15,CON
10141146,14264690,2014-04-29,CON
10141150,10775358,2004-02-10,CIP
10141156,11124459,2005-05-06,CON
10141158,10144201,2002-05-10,CIP
10141158,10736652,2003-12-16,CIP
10141158,11079977,2005-03-11,CIP
10141166,12111430,2008-04-29,CON
10141168,PCT/US03/14254,2003-05-05,CON
10141168,10690770,2003-10-21,CIP
10141177,11648911,2007-01-03,CON
10141189,12274458,2008-11-20,CON
10141194,12400737,2009-03-09,CON
10141197,13595035,2012-08-27,CIP
10141197,12485694,2009-06-16,CIP
10141201,10173190,2002-06-14,CIP
10141201,10808157,2004-03-23,CIP
10141201,11075973,2005-03-08,CIP
10141201,10676175,2003-09-30,CIP
10141206,11325513,2006-01-05,CON
10141208,10699374,2003-10-31,CON
10141208,10699168,2003-10-31,DIV
10141209,10712503,2003-11-13,DIV
10141212,10301071,2002-11-21,CIP
10141214,10639814,2003-08-12,CIP
10141215,PCT/US03/12819,2003-04-23,CON
10141216,10712688,2003-11-12,CON
10141216,10872620,2004-06-21,CIP
10141216,10233253,2002-08-30,CIP
10141216,12386771,2009-04-21,CIP
10141216,PCT/US03/14387,2003-05-05,CON
10141216,PCT/US02/26400,2002-08-19,CON
10141216,13571129,2012-08-09,CIP
10141216,11352522,2006-02-10,CIP
10141216,10425361,2003-04-29,CIP
10141216,11138001,2005-05-26,CIP
10141216,10255806,2002-09-25,CIP
10141216,PCT/US02/26011,2002-08-16,CON
10141216,10722992,2003-11-26,CIP
10141216,10712545,2003-11-13,CIP
10141216,10243102,2002-09-13,CIP
10141216,PCT/US03/13939,2003-05-05,CON
10141216,10739961,2003-12-17,CIP
10141216,10356168,2003-01-31,CIP
10141216,10187336,2002-06-28,CIP
10141216,11715082,2007-03-06,CIP
10141216,11181258,2005-07-14,CIP
10141216,10384967,2003-03-08,CIP
10141216,11529690,2006-09-27,CIP
10141216,11376364,2006-03-15,CIP
10141216,10210761,2002-07-31,CIP
10141217,10836943,2004-04-30,CON
10141217,12269191,2008-11-12,CON
10141217,10962405,2004-10-13,CON
10141219,14243639,2014-04-02,CON
10141219,12258163,2008-10-24,CON
10141220,11359341,2006-02-21,CON
10141220,13837522,2013-03-15,CON
10141227,PCT/US03/13620,2003-05-02,CON
10141227,10351656,2003-01-24,CIP
10141227,10431760,2003-05-08,CIP
10141229,10223225,2002-08-16,CIP
10141229,10785664,2004-02-24,CIP
10141232,10737662,2003-12-15,CIP
10141232,10442621,2003-05-21,CIP
10141233,11279084,2006-04-07,DIV
10141233,12165041,2008-06-30,DIV
10141236,10462903,2003-06-18,DIV
10141247,10863401,2004-06-08,CIP
10141248,10348362,2003-01-21,DIV
10141249,PCT/US02/22490,2002-07-16,CON
